@RELATION move
@ATTRIBUTE spx  NUMERIC
@ATTRIBUTE spy NUMERIC
@ATTRIBUTE lrps NUMERIC
@ATTRIBUTE rrps NUMERIC
@ATTRIBUTE svx NUMERIC
@ATTRIBUTE svy NUMERIC
@ATTRIBUTE sav NUMERIC
@ATTRIBUTE bpx NUMERIC
@ATTRIBUTE bpy NUMERIC
@ATTRIBUTE ba NUMERIC
@ATTRIBUTE bvx NUMERIC
@ATTRIBUTE bvy NUMERIC
@ATTRIBUTE bpxp NUMERIC
@DATA
0.539508,-0.000000,3.118146,3.118146,0.006235,-0.000000,-0.000000,1.285142,0.000000,0.000000,0.006235,0.000000,1.291348
0.545807,-0.000000,3.118968,3.118968,0.006237,-0.000000,-0.000000,1.291348,0.000000,0.000000,0.006237,0.000000,1.297556
0.552108,-0.000000,3.119735,3.119735,0.006239,-0.000000,0.000000,1.297556,0.000000,0.000000,0.006239,0.000000,1.303765
0.558411,-0.000000,3.120451,3.120451,0.006240,-0.000000,-0.000000,1.303765,0.000000,0.000000,0.006240,0.000000,1.309975
0.564715,-0.000000,3.121119,3.121119,0.006242,-0.000000,0.000000,1.309975,0.000000,0.000000,0.006242,0.000000,1.316187
0.571020,-0.000000,3.121742,3.121742,0.006243,-0.000000,0.000000,1.316187,0.000000,0.000000,0.006243,0.000000,1.322399
0.577327,-0.000000,3.122324,3.122324,0.006244,-0.000000,-0.000000,1.322399,0.000000,0.000000,0.006244,0.000000,1.328613
0.583634,-0.000000,3.122867,3.122867,0.006245,-0.000000,0.000000,1.328613,0.000000,0.000000,0.006245,0.000000,1.334828
0.589943,-0.000000,3.123373,3.123373,0.006246,-0.000000,-0.000000,1.334828,0.000000,0.000000,0.006246,0.000000,1.341044
0.596253,-0.000000,3.123846,3.123846,0.006247,-0.000000,0.000000,1.341044,0.000000,0.000000,0.006247,0.000000,1.347261
0.602563,-0.000000,3.124286,3.124286,0.006248,-0.000000,0.000000,1.347261,0.000000,0.000000,0.006248,0.000000,1.353479
0.608875,-0.000000,3.124698,3.124698,0.006249,-0.000000,0.000000,1.353479,0.000000,0.000000,0.006249,0.000000,1.359697
0.615187,-0.000000,3.125082,3.125082,0.006250,-0.000000,0.000000,1.359697,0.000000,0.000000,0.006250,0.000000,1.365917
0.621500,-0.000000,3.125440,3.125440,0.006251,-0.000000,0.000000,1.365917,0.000000,0.000000,0.006251,0.000000,1.372137
